==========***** 2021-01-13 10:13:01 start to log *****==========
4 2766 [282, 327, 336, 287, 142, 64, 232, 283, 253, 174, 130, 256]
5 2723 [221, 102, 237, 217, 224, 238, 310, 318, 327, 160, 296, 73]
7 2726 [228, 180, 149, 367, 357, 322, 248, 316, 138, 195, 106, 120]
2 2287 [171, 173, 96, 176, 134, 201, 294, 143, 120, 371, 270, 138]
9 2256 [109, 322, 171, 316, 323, 62, 230, 199, 280, 65, 118, 61]
8 2749 [85, 152, 233, 206, 313, 281, 344, 249, 305, 197, 222, 162]
1 2609 [64, 312, 246, 69, 152, 347, 169, 175, 137, 367, 343, 228]
6 2893 [206, 332, 314, 295, 106, 223, 366, 221, 317, 64, 344, 105]
3 2114 [146, 126, 129, 367, 204, 123, 214, 153, 203, 223, 139, 87]
11 2119 [343, 80, 209, 147, 188, 79, 65, 61, 353, 338, 117, 139]
12 2499 [199, 240, 71, 220, 214, 66, 339, 221, 246, 366, 120, 197]
10 2226 [79, 261, 102, 367, 133, 307, 118, 106, 200, 193, 64, 296]
16 2407 [98, 63, 206, 83, 263, 191, 225, 347, 286, 253, 208, 184]
13 2740 [298, 84, 207, 340, 126, 257, 311, 163, 286, 296, 310, 62]
15 2890 [306, 343, 174, 217, 96, 277, 198, 345, 85, 286, 281, 282]
17 3092 [111, 194, 345, 223, 243, 370, 176, 174, 328, 366, 246, 316]
14 1937 [130, 76, 201, 121, 65, 143, 163, 241, 184, 194, 287, 132]
18 2734 [119, 328, 115, 308, 368, 123, 113, 288, 113, 335, 365, 159]
19 2702 [171, 205, 273, 154, 149, 356, 106, 283, 285, 312, 261, 147]
20 2552 [251, 97, 323, 137, 84, 106, 222, 80, 347, 286, 342, 277]
21 2516 [127, 215, 101, 340, 74, 280, 240, 302, 298, 87, 199, 253]
24 2176 [206, 206, 228, 106, 358, 89, 76, 173, 67, 301, 209, 157]
22 2613 [101, 251, 243, 344, 148, 283, 186, 276, 272, 346, 81, 82]
23 2877 [322, 250, 107, 218, 251, 344, 219, 231, 253, 289, 83, 310]
25 2820 [285, 149, 67, 370, 340, 254, 114, 363, 128, 180, 301, 269]
28 2405 [315, 279, 72, 81, 303, 120, 343, 320, 169, 217, 110, 76]
26 2342 [112, 90, 283, 223, 212, 169, 161, 226, 218, 358, 204, 86]
27 2169 [138, 165, 243, 63, 202, 254, 226, 317, 110, 86, 99, 266]
29 2519 [290, 170, 359, 126, 306, 82, 235, 153, 238, 273, 175, 112]
30 3027 [240, 302, 244, 73, 307, 319, 348, 363, 285, 134, 122, 290]
33 3162 [303, 265, 310, 350, 310, 284, 321, 151, 212, 198, 224, 234]
32 2881 [89, 159, 334, 345, 257, 312, 75, 150, 337, 369, 361, 93]
31 2329 [74, 187, 142, 288, 201, 309, 121, 187, 362, 123, 192, 143]
34 2135 [263, 272, 66, 127, 177, 196, 95, 166, 363, 111, 134, 165]
35 2926 [252, 186, 195, 222, 263, 162, 247, 274, 289, 247, 333, 256]
36 2383 [131, 356, 136, 205, 224, 163, 366, 233, 87, 183, 126, 173]
38 2413 [121, 174, 240, 285, 139, 151, 325, 126, 232, 122, 293, 205]
37 2648 [204, 126, 184, 298, 362, 223, 302, 314, 185, 300, 62, 88]
40 2508 [215, 251, 313, 292, 267, 86, 225, 76, 243, 235, 176, 129]
41 2496 [203, 194, 97, 244, 61, 350, 286, 107, 136, 220, 321, 277]
39 2736 [152, 121, 277, 193, 228, 154, 320, 160, 257, 229, 316, 329]
42 2209 [187, 261, 79, 336, 143, 139, 145, 133, 154, 297, 217, 118]
43 2427 [239, 124, 72, 113, 241, 349, 234, 144, 220, 343, 238, 110]
44 2751 [242, 98, 139, 297, 242, 140, 211, 337, 257, 239, 262, 287]
47 3440 [131, 307, 305, 341, 318, 307, 307, 370, 349, 327, 174, 204]
46 2151 [135, 235, 62, 122, 169, 206, 275, 270, 251, 100, 232, 94]
45 2633 [186, 145, 286, 147, 289, 104, 180, 158, 168, 346, 260, 364]
48 2418 [166, 326, 280, 66, 92, 97, 169, 316, 255, 62, 296, 293]
50 2567 [287, 140, 223, 175, 305, 214, 324, 153, 299, 61, 298, 88]
49 2239 [248, 245, 283, 177, 263, 138, 123, 183, 158, 224, 108, 89]
52 2606 [365, 133, 312, 293, 156, 179, 319, 83, 118, 294, 156, 198]
51 2837 [147, 303, 249, 362, 365, 122, 220, 218, 364, 123, 219, 145]
53 2243 [181, 148, 87, 233, 167, 330, 303, 263, 203, 136, 74, 118]
54 2410 [279, 332, 179, 105, 218, 121, 358, 188, 76, 163, 157, 234]
55 2685 [346, 145, 137, 327, 222, 94, 193, 299, 99, 249, 324, 250]
56 2487 [288, 261, 61, 244, 136, 187, 158, 187, 218, 197, 357, 193]
57 2432 [361, 87, 88, 368, 359, 177, 198, 100, 323, 97, 205, 69]
58 2101 [164, 97, 164, 217, 303, 213, 68, 291, 133, 87, 88, 276]
60 2573 [147, 65, 329, 227, 166, 334, 331, 269, 248, 125, 87, 245]
61 2578 [102, 339, 89, 173, 322, 297, 287, 322, 146, 220, 210, 71]
59 3249 [313, 337, 308, 333, 231, 354, 175, 163, 339, 176, 263, 257]
63 2429 [201, 252, 214, 197, 235, 117, 324, 81, 279, 258, 100, 171]
62 2611 [169, 157, 212, 129, 363, 272, 167, 329, 124, 354, 198, 137]
64 2439 [320, 197, 126, 89, 351, 102, 306, 178, 218, 319, 75, 158]
65 2107 [168, 232, 282, 102, 132, 122, 240, 77, 208, 247, 149, 148]
67 2283 [72, 289, 195, 148, 62, 334, 123, 291, 150, 208, 270, 141]
66 3261 [92, 358, 163, 340, 298, 307, 341, 267, 343, 356, 132, 264]
68 2834 [152, 131, 289, 352, 277, 291, 121, 271, 85, 300, 281, 284]
69 2426 [252, 323, 227, 105, 84, 109, 106, 194, 186, 146, 364, 330]
73 2354 [142, 171, 274, 162, 217, 127, 323, 117, 120, 279, 359, 63]
71 2511 [259, 138, 265, 131, 327, 108, 279, 116, 218, 272, 304, 94]
72 2563 [279, 97, 152, 78, 144, 267, 203, 146, 363, 275, 200, 359]
70 2297 [91, 71, 365, 217, 234, 126, 93, 216, 92, 308, 139, 345]
74 2279 [318, 218, 145, 147, 271, 122, 239, 97, 159, 208, 273, 82]
75 2190 [205, 90, 248, 315, 194, 354, 112, 97, 148, 62, 74, 291]
78 2303 [173, 293, 84, 62, 182, 240, 338, 124, 224, 214, 219, 150]
77 2929 [168, 364, 301, 258, 231, 192, 295, 349, 62, 150, 305, 254]
79 2594 [316, 317, 245, 210, 72, 61, 248, 142, 139, 354, 228, 262]
76 2658 [240, 66, 227, 160, 221, 215, 198, 66, 252, 322, 321, 370]
80 1897 [69, 65, 359, 100, 61, 201, 211, 150, 66, 128, 190, 297]
83 2974 [312, 201, 360, 326, 221, 269, 175, 158, 102, 196, 362, 292]
82 2472 [118, 291, 351, 238, 300, 229, 175, 89, 88, 137, 222, 234]
85 2595 [206, 351, 65, 242, 199, 210, 76, 359, 201, 344, 192, 150]
81 2519 [259, 172, 193, 161, 279, 204, 250, 186, 255, 248, 61, 251]
84 1993 [137, 269, 88, 147, 65, 84, 309, 331, 204, 66, 232, 61]
86 2073 [187, 115, 188, 175, 71, 357, 104, 146, 263, 287, 104, 76]
90 2661 [135, 302, 262, 271, 100, 321, 105, 211, 340, 270, 271, 73]
87 2834 [340, 304, 242, 195, 259, 211, 331, 85, 99, 174, 320, 274]
88 2911 [344, 365, 101, 173, 309, 281, 204, 91, 200, 154, 340, 349]
89 2811 [244, 184, 191, 328, 189, 313, 368, 157, 117, 275, 290, 155]
91 2943 [326, 289, 341, 310, 178, 127, 336, 141, 159, 231, 145, 360]
92 3147 [116, 321, 85, 325, 358, 185, 293, 279, 183, 364, 313, 325]
95 2334 [81, 98, 340, 73, 172, 230, 229, 80, 229, 220, 270, 312]
98 2886 [165, 179, 217, 253, 322, 83, 224, 112, 312, 344, 349, 326]
97 2600 [77, 266, 317, 96, 240, 350, 227, 350, 80, 217, 132, 248]
94 2661 [299, 180, 275, 251, 93, 307, 162, 278, 291, 70, 107, 348]
93 3112 [341, 132, 324, 137, 364, 237, 156, 214, 340, 298, 315, 254]
96 2638 [327, 294, 98, 280, 323, 262, 91, 319, 83, 100, 136, 325]
99 2292 [115, 127, 105, 176, 295, 162, 289, 254, 88, 340, 165, 176]
102 2916 [364, 64, 205, 104, 297, 275, 280, 267, 173, 308, 244, 335]
103 2464 [195, 158, 198, 344, 158, 89, 218, 272, 366, 110, 292, 64]
100 2475 [190, 312, 75, 177, 307, 260, 63, 370, 94, 109, 167, 351]
101 2684 [108, 359, 92, 266, 135, 184, 242, 364, 316, 98, 217, 303]
104 2816 [79, 352, 178, 239, 191, 332, 123, 323, 310, 160, 270, 259]
106 2079 [94, 255, 332, 301, 94, 111, 81, 276, 244, 61, 158, 72]
108 2843 [367, 226, 347, 105, 272, 129, 236, 367, 194, 223, 131, 246]
105 2894 [300, 209, 217, 365, 282, 368, 190, 249, 69, 68, 216, 361]
109 2542 [344, 320, 294, 61, 301, 95, 140, 361, 129, 141, 134, 222]
107 2687 [169, 290, 177, 268, 252, 266, 354, 252, 354, 67, 122, 116]
110 2845 [349, 334, 211, 200, 266, 190, 235, 142, 280, 279, 284, 75]
111 2063 [85, 97, 337, 79, 303, 247, 92, 163, 334, 189, 64, 73]
112 3050 [253, 371, 322, 327, 104, 312, 193, 101, 359, 196, 188, 324]
116 2887 [163, 279, 304, 163, 88, 354, 206, 262, 351, 263, 325, 129]
113 2627 [318, 183, 260, 177, 242, 270, 330, 99, 131, 282, 147, 188]
114 3252 [338, 330, 352, 125, 365, 144, 263, 291, 264, 309, 349, 122]
117 1878 [117, 163, 91, 140, 365, 262, 61, 67, 160, 85, 108, 259]
115 1862 [61, 230, 204, 155, 70, 76, 214, 101, 129, 339, 218, 65]
118 2586 [338, 343, 183, 200, 205, 359, 357, 163, 63, 166, 123, 86]
123 2413 [79, 216, 280, 206, 300, 214, 189, 65, 90, 303, 266, 205]
122 2250 [89, 364, 75, 294, 93, 103, 147, 279, 257, 173, 215, 161]
119 2427 [354, 85, 303, 173, 147, 156, 169, 194, 115, 361, 237, 133]
120 2390 [245, 185, 109, 155, 123, 323, 235, 234, 363, 129, 184, 105]
124 2287 [85, 366, 86, 209, 131, 243, 174, 113, 202, 193, 238, 247]
121 2437 [61, 198, 219, 172, 190, 269, 249, 243, 355, 118, 197, 166]
125 2822 [131, 196, 240, 64, 302, 235, 358, 342, 279, 159, 366, 150]
129 2622 [131, 369, 279, 220, 299, 294, 76, 85, 225, 356, 190, 98]
130 2272 [94, 154, 247, 250, 177, 147, 105, 279, 256, 77, 117, 369]
126 2570 [67, 257, 338, 92, 318, 212, 80, 331, 70, 306, 193, 306]
128 2790 [255, 272, 204, 224, 275, 223, 348, 109, 181, 254, 134, 311]
127 2336 [172, 187, 72, 234, 116, 144, 359, 228, 135, 244, 195, 250]
131 2297 [200, 167, 176, 167, 156, 231, 61, 307, 164, 227, 257, 184]
133 2293 [109, 143, 307, 129, 326, 287, 129, 160, 240, 318, 73, 72]
134 2608 [329, 333, 184, 134, 133, 324, 71, 316, 331, 132, 180, 141]
137 2285 [271, 290, 276, 91, 108, 292, 122, 90, 130, 163, 211, 241]
135 3091 [326, 175, 132, 249, 318, 327, 331, 317, 248, 107, 194, 367]
132 2155 [191, 252, 169, 185, 240, 124, 75, 301, 103, 103, 127, 285]
136 3085 [136, 271, 316, 108, 326, 342, 211, 258, 297, 337, 149, 334]
138 2759 [310, 279, 317, 241, 158, 214, 243, 120, 351, 138, 201, 187]
139 2522 [138, 244, 321, 62, 179, 98, 271, 313, 90, 183, 346, 277]
141 3078 [182, 223, 327, 282, 167, 271, 283, 144, 329, 257, 324, 289]
143 2913 [207, 326, 146, 308, 142, 170, 321, 226, 311, 340, 100, 316]
142 2716 [370, 254, 124, 180, 250, 260, 148, 298, 230, 128, 274, 200]
144 2547 [255, 143, 314, 95, 250, 221, 168, 96, 174, 357, 269, 205]
140 2928 [263, 240, 195, 286, 304, 305, 161, 298, 252, 135, 262, 227]
145 2359 [301, 308, 92, 203, 144, 222, 223, 263, 108, 138, 128, 229]
150 3224 [124, 288, 136, 328, 336, 275, 304, 355, 331, 249, 356, 142]
148 2182 [219, 101, 189, 161, 315, 88, 107, 252, 116, 289, 205, 140]
146 2036 [153, 105, 109, 132, 273, 180, 131, 239, 222, 132, 81, 279]
147 2531 [342, 112, 293, 245, 187, 118, 95, 129, 199, 304, 192, 315]
151 2851 [300, 176, 301, 248, 349, 206, 241, 157, 364, 273, 94, 142]
149 2625 [240, 89, 215, 226, 313, 127, 196, 347, 278, 200, 291, 103]
152 2304 [223, 334, 136, 301, 76, 102, 222, 218, 198, 216, 128, 150]
153 2987 [325, 240, 154, 227, 73, 358, 273, 332, 316, 342, 239, 108]
155 2435 [100, 80, 91, 215, 316, 158, 214, 358, 107, 354, 127, 315]
156 2580 [261, 363, 347, 69, 145, 76, 245, 262, 129, 297, 302, 84]
154 2485 [240, 88, 153, 289, 232, 228, 220, 174, 112, 306, 160, 283]
159 3016 [208, 330, 348, 335, 133, 301, 190, 283, 230, 72, 308, 278]
158 2815 [148, 217, 197, 342, 323, 74, 238, 151, 366, 348, 182, 229]
157 2768 [161, 368, 324, 218, 308, 363, 171, 213, 141, 146, 237, 118]
160 2850 [220, 350, 321, 341, 128, 354, 75, 291, 341, 95, 184, 150]
164 2578 [138, 302, 304, 81, 249, 176, 111, 313, 115, 279, 212, 298]
165 2190 [61, 167, 281, 317, 250, 115, 177, 118, 182, 94, 143, 285]
166 2983 [87, 159, 255, 366, 150, 285, 295, 326, 339, 346, 235, 140]
163 2552 [78, 207, 125, 370, 369, 273, 283, 244, 369, 70, 66, 98]
161 3004 [196, 151, 314, 347, 130, 366, 366, 308, 74, 183, 234, 335]
162 2806 [338, 66, 322, 212, 253, 61, 226, 256, 70, 350, 282, 370]
167 2425 [69, 299, 230, 87, 217, 276, 163, 368, 111, 82, 281, 242]
168 2249 [107, 112, 277, 173, 327, 124, 334, 164, 215, 182, 67, 167]
171 2325 [67, 216, 230, 256, 278, 178, 117, 145, 178, 255, 110, 295]
170 2464 [195, 106, 203, 294, 87, 265, 174, 222, 161, 108, 336, 313]
173 2533 [259, 144, 116, 371, 220, 307, 110, 102, 363, 79, 149, 313]
172 2350 [312, 286, 103, 320, 248, 288, 94, 299, 146, 61, 126, 67]
169 2459 [91, 118, 104, 311, 85, 212, 324, 151, 338, 153, 351, 221]
174 2835 [346, 192, 345, 75, 205, 259, 159, 127, 311, 312, 199, 305]
175 2185 [354, 75, 157, 118, 195, 113, 61, 342, 144, 166, 358, 102]
176 2668 [78, 339, 163, 337, 201, 347, 233, 163, 303, 305, 104, 95]
177 2924 [226, 259, 340, 331, 200, 80, 262, 131, 344, 242, 241, 268]
179 2978 [251, 176, 287, 301, 231, 238, 368, 337, 131, 242, 278, 138]
183 2485 [108, 126, 79, 316, 141, 202, 227, 74, 252, 257, 345, 358]
182 2581 [253, 185, 76, 346, 126, 226, 250, 103, 152, 316, 210, 338]
181 2593 [125, 77, 295, 216, 309, 165, 177, 194, 192, 276, 348, 219]
178 2553 [218, 355, 330, 223, 101, 192, 325, 165, 94, 237, 235, 78]
180 2803 [89, 233, 160, 286, 327, 117, 354, 362, 341, 248, 211, 75]
184 2609 [210, 121, 302, 366, 298, 289, 121, 72, 181, 265, 195, 189]
186 2335 [147, 93, 196, 218, 175, 164, 168, 187, 292, 329, 278, 88]
189 2712 [202, 352, 219, 333, 61, 292, 232, 91, 256, 361, 124, 189]
191 2843 [173, 356, 333, 273, 204, 132, 282, 337, 77, 231, 107, 338]
187 2573 [319, 217, 176, 146, 121, 267, 147, 96, 339, 125, 321, 299]
190 2486 [66, 178, 351, 63, 220, 185, 279, 108, 284, 137, 354, 261]
185 2893 [189, 215, 311, 296, 353, 264, 161, 348, 134, 166, 262, 194]
188 2845 [90, 302, 279, 283, 121, 300, 218, 233, 260, 282, 297, 180]
192 2382 [138, 205, 99, 176, 244, 328, 220, 345, 77, 105, 267, 178]
195 2901 [299, 244, 365, 62, 142, 191, 293, 249, 158, 306, 260, 332]
196 2265 [104, 245, 341, 153, 359, 283, 84, 84, 183, 173, 177, 79]
198 2859 [172, 127, 204, 262, 365, 206, 202, 335, 266, 120, 263, 337]
194 2452 [150, 71, 181, 265, 141, 301, 138, 339, 270, 272, 161, 163]
197 2367 [128, 339, 199, 273, 156, 87, 307, 94, 316, 95, 95, 278]
193 2812 [132, 100, 305, 307, 264, 323, 338, 225, 125, 287, 220, 186]
199 2273 [249, 99, 125, 94, 292, 134, 359, 185, 195, 72, 281, 188]
200 2872 [298, 293, 65, 82, 124, 336, 278, 326, 250, 366, 268, 186]
201 2423 [202, 123, 158, 80, 338, 338, 182, 312, 247, 71, 278, 94]
203 2646 [332, 186, 304, 226, 329, 185, 131, 178, 160, 182, 68, 365]
202 2453 [77, 199, 307, 274, 230, 234, 278, 199, 102, 83, 336, 134]
205 2245 [288, 217, 102, 106, 364, 189, 123, 269, 80, 167, 152, 188]
207 2878 [157, 353, 313, 274, 181, 291, 260, 142, 211, 217, 121, 358]
209 2818 [254, 109, 240, 252, 80, 342, 82, 326, 362, 218, 298, 255]
204 2375 [369, 258, 202, 182, 101, 139, 371, 158, 94, 104, 251, 146]
208 2614 [131, 96, 329, 170, 84, 302, 248, 170, 261, 263, 214, 346]
206 2806 [326, 344, 131, 72, 224, 136, 310, 273, 174, 361, 164, 291]
210 2556 [346, 290, 172, 320, 323, 75, 236, 136, 294, 91, 115, 158]
211 2422 [328, 325, 148, 95, 301, 317, 94, 230, 114, 63, 198, 209]
214 2599 [180, 248, 104, 234, 231, 95, 127, 267, 365, 164, 293, 291]
212 3034 [368, 315, 286, 326, 105, 136, 348, 313, 114, 212, 289, 222]
218 2923 [224, 370, 127, 245, 142, 306, 348, 85, 343, 232, 213, 288]
216 2640 [211, 62, 247, 197, 345, 171, 342, 169, 261, 202, 249, 184]
215 2184 [350, 169, 218, 123, 76, 85, 193, 328, 131, 126, 195, 190]
213 2743 [252, 91, 224, 241, 273, 263, 307, 166, 73, 334, 224, 295]
217 2555 [240, 331, 166, 195, 259, 164, 255, 265, 199, 69, 66, 346]
219 3152 [294, 349, 327, 163, 320, 314, 344, 294, 124, 200, 76, 347]
224 2747 [325, 341, 70, 306, 119, 112, 236, 249, 228, 327, 78, 356]
225 2964 [70, 291, 308, 296, 346, 104, 209, 311, 216, 361, 179, 273]
222 2524 [359, 120, 81, 79, 161, 254, 285, 277, 105, 279, 206, 318]
220 2399 [152, 291, 251, 127, 230, 261, 350, 200, 70, 138, 160, 169]
221 2515 [221, 257, 247, 283, 339, 77, 300, 162, 183, 280, 82, 84]
227 2786 [159, 345, 127, 196, 162, 316, 311, 131, 198, 320, 312, 209]
223 2337 [207, 137, 277, 141, 162, 153, 131, 361, 187, 132, 285, 164]
226 3094 [352, 206, 230, 327, 314, 333, 265, 83, 173, 323, 364, 124]
228 2929 [261, 69, 285, 339, 297, 152, 219, 229, 353, 201, 323, 201]
232 2981 [335, 278, 283, 218, 259, 259, 234, 287, 144, 303, 309, 72]
230 2574 [116, 261, 220, 291, 98, 368, 113, 330, 228, 204, 275, 70]
229 2617 [64, 358, 61, 116, 191, 143, 229, 314, 343, 364, 205, 229]
236 2724 [290, 302, 172, 83, 321, 344, 227, 282, 207, 94, 117, 285]
234 1825 [201, 126, 299, 105, 68, 77, 89, 343, 87, 165, 91, 174]
235 3070 [258, 332, 237, 349, 79, 120, 330, 192, 282, 292, 270, 329]
231 3012 [315, 332, 247, 247, 330, 363, 90, 132, 172, 230, 288, 266]
233 2625 [240, 213, 93, 235, 330, 211, 96, 214, 334, 150, 167, 342]
238 2501 [315, 120, 149, 329, 300, 120, 342, 85, 252, 271, 69, 149]
239 2396 [111, 118, 129, 101, 360, 198, 125, 130, 363, 338, 189, 234]
243 2962 [316, 255, 307, 162, 262, 134, 206, 252, 321, 300, 113, 334]
237 2813 [271, 89, 351, 344, 333, 348, 194, 173, 134, 339, 84, 153]
241 2871 [61, 160, 115, 220, 132, 355, 353, 202, 367, 302, 271, 333]
242 3145 [344, 299, 346, 274, 259, 335, 175, 176, 224, 238, 143, 332]
246 2530 [355, 254, 75, 107, 106, 260, 348, 253, 167, 182, 302, 121]
240 2635 [147, 109, 176, 218, 305, 158, 309, 213, 345, 285, 221, 149]
245 2492 [308, 366, 167, 308, 297, 178, 147, 65, 119, 294, 116, 127]
244 3168 [361, 215, 317, 204, 281, 199, 327, 297, 343, 226, 289, 109]
250 3033 [203, 333, 155, 229, 361, 162, 167, 137, 325, 281, 355, 325]
254 2123 [79, 83, 69, 248, 241, 70, 226, 184, 335, 299, 79, 210]
252 2258 [271, 318, 251, 207, 280, 357, 85, 75, 104, 161, 71, 78]
249 2266 [300, 208, 133, 208, 184, 278, 233, 120, 266, 103, 82, 151]
251 2503 [326, 346, 153, 150, 176, 239, 185, 228, 178, 197, 188, 137]
248 2352 [168, 85, 74, 356, 110, 240, 171, 357, 345, 131, 164, 151]
253 2258 [119, 189, 357, 245, 170, 245, 301, 85, 83, 89, 294, 81]
247 2254 [206, 134, 259, 256, 81, 328, 102, 70, 87, 297, 275, 159]
255 2782 [250, 66, 99, 153, 93, 367, 352, 253, 145, 325, 350, 329]
257 2720 [125, 306, 303, 301, 204, 264, 236, 265, 135, 147, 109, 325]
262 2367 [246, 234, 147, 190, 156, 90, 167, 169, 150, 218, 367, 233]
258 2949 [122, 287, 348, 67, 250, 314, 335, 298, 107, 368, 287, 166]
256 2931 [279, 349, 341, 227, 255, 167, 114, 224, 306, 179, 333, 157]
259 2940 [319, 349, 300, 312, 322, 342, 88, 133, 170, 100, 339, 166]
260 2511 [229, 229, 67, 213, 95, 223, 152, 321, 86, 350, 233, 313]
261 2322 [87, 270, 351, 152, 101, 273, 235, 135, 111, 313, 119, 175]
263 2932 [330, 310, 335, 149, 114, 324, 216, 349, 186, 212, 133, 274]
264 2165 [202, 257, 226, 125, 78, 289, 218, 90, 116, 94, 346, 124]
265 3311 [365, 361, 165, 258, 285, 310, 269, 369, 258, 221, 369, 81]
268 2435 [274, 247, 351, 165, 354, 193, 155, 86, 207, 173, 89, 141]
274 2945 [100, 371, 235, 336, 276, 141, 316, 273, 76, 349, 279, 193]
270 3026 [320, 342, 335, 298, 280, 268, 116, 66, 354, 173, 103, 371]
271 2721 [339, 307, 97, 243, 76, 305, 162, 356, 175, 337, 155, 169]
266 3363 [225, 351, 323, 332, 255, 113, 223, 339, 252, 309, 316, 325]
273 2734 [304, 344, 211, 290, 221, 298, 97, 331, 61, 312, 181, 84]
272 2807 [215, 359, 181, 179, 340, 277, 303, 211, 237, 122, 126, 257]
269 3026 [342, 164, 206, 203, 289, 287, 364, 269, 226, 300, 101, 275]
267 2563 [255, 93, 63, 188, 242, 315, 84, 308, 102, 300, 297, 316]
275 2787 [96, 193, 345, 324, 178, 360, 279, 167, 164, 313, 143, 225]
277 2155 [187, 113, 155, 212, 192, 199, 61, 327, 294, 148, 111, 156]
283 2274 [193, 169, 191, 131, 224, 261, 87, 254, 246, 269, 70, 179]
280 2669 [289, 153, 177, 207, 364, 215, 246, 360, 121, 170, 251, 116]
281 2236 [100, 302, 80, 240, 352, 181, 62, 325, 295, 99, 137, 63]
279 2517 [215, 333, 357, 216, 108, 141, 123, 175, 363, 193, 167, 126]
278 2321 [313, 256, 153, 250, 86, 158, 142, 217, 161, 296, 158, 131]
282 2991 [266, 283, 217, 316, 288, 236, 242, 149, 148, 340, 189, 317]
276 2383 [108, 87, 181, 310, 261, 333, 352, 221, 95, 74, 157, 204]
284 2678 [350, 90, 246, 252, 72, 358, 342, 169, 67, 145, 362, 225]
285 2625 [113, 250, 179, 74, 293, 283, 257, 280, 129, 242, 369, 156]
290 2771 [337, 98, 193, 271, 201, 184, 187, 203, 371, 315, 242, 169]
288 2389 [240, 113, 138, 268, 129, 226, 241, 344, 71, 240, 305, 74]
292 3232 [327, 330, 357, 85, 211, 350, 334, 291, 325, 201, 288, 133]
293 2211 [123, 157, 142, 310, 101, 82, 96, 225, 281, 301, 256, 137]
294 2751 [158, 302, 243, 136, 162, 365, 324, 207, 356, 82, 210, 206]
291 2112 [78, 61, 179, 73, 219, 73, 122, 363, 248, 289, 276, 131]
286 2573 [255, 202, 202, 111, 180, 308, 253, 175, 160, 335, 314, 78]
289 2286 [70, 105, 77, 358, 352, 347, 119, 346, 82, 161, 159, 110]
287 2382 [132, 169, 150, 366, 145, 345, 194, 126, 256, 156, 147, 196]
295 2117 [75, 119, 220, 252, 100, 90, 93, 264, 131, 290, 230, 253]
296 2553 [152, 309, 191, 179, 75, 161, 202, 295, 228, 207, 347, 207]
297 2359 [77, 352, 104, 193, 104, 360, 182, 265, 123, 230, 155, 214]
306 2047 [172, 61, 83, 236, 84, 282, 99, 229, 218, 213, 107, 263]
300 3098 [296, 308, 280, 171, 311, 63, 326, 350, 270, 355, 277, 91]
298 2724 [70, 208, 284, 242, 169, 71, 290, 271, 313, 123, 318, 365]
